feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24099	-1.04590916046989	-1.90680344739859	-3.52180504413475	-10.4178366693653	-2.67002475006651	-11.3963213487105	-12.6669689386541	-13.3404681139769	-10.6669689386541	-13.2692094308071	-8.65414489829654	-14.5567860209037	-15.2519314393753	-16.0592863614329	-18.0592863614329	-16.8368939400964	-12.7373582665455
HEB24100	-1.20674753130758	-3.13597327975103	-9.94351258356374	-10.3380444274079	-1.16188468618463	-10.7122963118403	-12.4848858157372	-12.687378679636	-9.90278864871045	-12.5196512338979	-8.96581125067252	-14.353641282459	-15.5552751436286	-14.9703126429075	-16.877203238516	-18.7701428270545	-14.7072782370737
HEB24139	-1.11468802435203	-1.44936200766738	-9.0234546088848	-10.4072174028305	-2.58680789968955	-11.2795170541109	-12.7389486727482	-13.1322911009277	-10.0588289389867	-13.1109174501351	-9.86746341327086	-15.7389486727482	-15.7389486727482	-16.3910253693279	-17.6134177906643	-17.6134177906643	-13.7065271950558
HEB24140	-1.27499689392913	-0.923245525060491	-10.8045002904914	-11.6741922681457	-4.13852807733552	-11.5426626454404	-12.7831266396988	-13.1887654409754	-10.6807649220692	-13.0126084858216	-11.3894627912126	-15.4555519816703	-15.6481970596127	-16.285626980228	-19.0592863614329	-18.7701428270545	-13.8408421375551
HEB24141	-1.30410747823098	-2.50568654530544	-6.47123455426828	-10.6367910586835	-1.99649692905433	-10.6715564768441	-12.4101986488177	-12.7920692841614	-2.69685209994644	-13.0291084814622	-9.96301929100445	-14.2515009027987	-15.1360236853787	-15.6665384020775	-17.2515009027987	-18.7701428270545	-14.3770317848825
HEB24142	-1.70563421194864	-1.4665518577226	-7.58225807695225	-10.0448339649945	-1.63456919008582	-10.9662241302981	-12.2691512632554	-12.8207936907765	-10.0887773125821	-12.8608711301519	-9.78179955916066	-14.2032633275989	-15.5511866310192	-15.4256557489354	-19.0592863614329	-16.6886901547692	-12.2826977950933
HEB24143	-1.2802111213074	-1.6922398707139	-4.57100386096072	-10.9009671432703	-2.10451325459155	-10.9163971838399	-12.246102629319	-12.5975749998204	-10.3418138288988	-12.7831306529765	-9.1701537760857	-15.2856309935056	-15.2856309935056	-16.8705934942268	-19.0592863614329	-16.8705934942268	-13.3680931536976
HEB24144	-1.28318556800949	-1.53796545124012	-10.2676403112127	-10.71677100916	-2.06033060052076	-11.0946555100214	-12.5849811366044	-13.2768588412421	-10.1193175642556	-12.6315237225415	-9.23358613277641	-14.5622610601044	-15.7549061380468	-15.392336058662	-19.0592863614329	-18.7701428270545	-14.1699436373256
HEB24175	-1.38489316427917	-1.20551986509234	-9.33177033385365	-10.4037564466794	-2.50732547013188	-10.8781536970546	-12.417239676043	-12.8851627555739	-9.22491212754855	-12.9135445569438	-8.66813351900458	-14.197752985882	-15.2939683011413	-15.8300212013815	-19.0592863614329	-17.3445943742112	-13.4240288417056
HEB24176	-1.36786352484946	-1.51952981629934	-10.0994865779361	-10.5704704822181	-1.95536636935781	-11.025308989555	-12.1407862069749	-12.5509743065923	-9.82177559546983	-12.3864385345805	-9.01525532489104	-14.5606894614256	-14.9627879049969	-16.0697031089134	-17.1851803263334	-17.7701428270545	-13.015255324891
HEB24177	-1.81538624456101	-3.37062216320064	-7.21139237685593	-9.74648906519881	-0.87133701470618	-10.5623055660046	-11.8424134851973	-12.4325376910343	-4.0034797214405	-12.0468839985365	-10.3533109998837	-14.3867340014212	-14.884233660892	-15.0648059065338	-19.0592863614329	-17.3867340014212	-14.0409591645794
HEB24178	-0.879744157504903	-3.59280787185608	-8.44919604867017	-9.64636911254959	-1.48357558900426	-10.7379995880152	-11.9597857075814	-12.3084807120316	-9.124218250568	-12.3193280942686	-6.84365583462407	-14.5111956485916	-15.0472485488318	-15.5618217216615	-16.1992516422768	-17.1992516422768	-13.2398936267742
HEB24179	-1.23519350430892	-1.57356432740169	-5.52722493024036	-10.6155203947472	-2.21970746095828	-11.0811129980111	-12.394832279623	-12.7929166456206	-10.5816423848353	-12.5977456930192	-11.1834444504753	-14.5571037085218	-15.2864561185782	-15.5801873216349	-17.3644586305794	-16.4469207907714	-13.3644586305795
HEB24180	-1.61915948291339	-1.0583816649683	-10.1246378425457	-10.4462368930615	-2.40816256019984	-11.095965452663	-12.3097805892762	-12.3523052059228	-9.95237459903415	-12.2626679934381	-8.93900275801469	-14.4413102119815	-15.5788137357315	-15.3157793298977	-16.7632383068689	-17.4153150034486	-13.3400268761444
