feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24026	-7.95241557771021	-0.0344912322737143	-10.4852404550962	-8.02532316231161	-6.61533250139942	-8.40850402043891	-10.8239637925265	-9.55502878525305	-16.3921310507047	-15.9770935514259	-19.138473471621	-19.6277950947162
HEB24034	-0.742700521548801	-1.3353545572265	-8.92405500931798	-10.9077654680908	-10.6878434155786	-12.0917974157284	-12.5772242428987	-8.64581132815609	-16.4841148385072	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24036	-3.50918805049214	-0.789736246308055	-10.6813903926455	-3.74029409748179	-3.8083691248207	-2.6871173982323	-5.15396897641428	-9.60482805549895	-16.4024895813527	-9.01124599192526	-12.3801217683243	-12.9430579627154
HEB24037	-1.56647217167168	-0.601495495623395	-10.0040707703346	-10.4034266473811	-10.5424906851187	-12.1403922415474	-12.1403922415474	-11.1666237831205	-15.2343683897564	-16.6128800130101	-19.138473471621	-19.6277950947162
HEB24044	-1.27190597451656	-0.779349213156029	-10.0979073192448	-10.5883658335027	-10.3772181693339	-12.4254272623765	-11.7990448342754	-11.0895599765313	-15.9420027881174	-17.1119277895598	-19.138473471621	-19.6277950947162
HEB24047	-8.07377584052875	-0.0123032781413474	-10.836317681401	-9.75461594931939	-9.85401968313443	-11.1988877607857	-10.1739701285814	-10.5340719523753	-16.1938696860191	-15.9043630688241	-19.138473471621	-19.6277950947162
HEB24059	-1.14967747957825	-0.88197709286816	-9.90180127292845	-10.81723697767	-10.3617062943726	-11.642558446257	-12.0491837057197	-8.07137132418053	-15.3055234589795	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24060	-1.51931825148874	-0.64960778333559	-8.20222734049183	-9.61039157740918	-10.4132963748014	-12.2399196305638	-11.4844036400258	-7.0208650265643	-15.1257486106445	-18.0643480659803	-19.138473471621	-19.6277950947162
HEB24063	-7.2074334784426	-0.0962102655018476	-10.6222811369368	-6.81167568017876	-5.45725780457449	-5.43683185700534	-8.86211622943165	-13.5140648401551	-16.3441398387128	-13.2472782994602	-16.7067099180975	-17.9291023394339
HEB24066	-1.48301955034091	-0.652960926269972	-9.37367820339757	-9.95483913395887	-10.6981462549989	-12.5246947422898	-11.5474148187899	-8.56107612484585	-16.2027666474025	-17.5246947422898	-19.138473471621	-19.6277950947162
