feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24037	0.337617036901046	0.132741596890191	0.00707010640081098	0.0757716652964137	0.000973810873157143	0.000738340211205211	0.442120113983764	0.000490896464747248	0.000221502063361563	8.58071056265515e-05	0.00113145648581988	0.000203542436602518	4.3901309855445e-05	7.18385070361827e-05	0.000435022070385773	6.18609366144906e-05	2.19506549277225e-05	3.19282253494145e-05	1.79596267590457e-05	2.59416830963993e-05	9.97757042169204e-06	9.97757042169204e-06	1.59641126747073e-05	0	8.78026197108899e-05	0	0	0
HEB24044	0.414091139338808	0.119933001872629	0.00639447353697517	0.10496079126977	0.00091248766729676	0.000649507662601949	0.350188763164444	0.000457126316885611	0.000181791546869567	0.000164141882124949	0.000928372365566916	0.000190616379241876	7.05986589784727e-05	9.70731560954e-05	0.000458891283360073	8.47183907741672e-05	3.52993294892364e-05	3.35343630147745e-05	2.11795976935418e-05	1.58846982701564e-05	7.05986589784727e-06	0	2.11795976935418e-05	1.05897988467709e-05	8.82483237230909e-05	0	3.52993294892364e-06	0
HEB24059	0.450725981694067	0.172438486358349	0.00648883864878509	0.0265452490177572	0.0010453477907768	0.000554226387760925	0.33414363792006	0.000458197063148884	0.000312781228736364	0.00020577712416866	0.000875238701464036	0.00211538883645383	6.85923747228868e-05	9.05419346342106e-05	0.00371770670998046	7.13360697118023e-05	2.74369498891547e-05	1.64621699334928e-05	0	2.46932549002393e-05	0	0	0	1.64621699334928e-05	5.76175947672249e-05	0	0	0
HEB24081	0.0367470965416012	0.689506044737572	0.00614850013860255	0.0086918191168518	0.000860396176084319	0.00085888139408417	0.253348804306828	0.000355973770034885	0.000160566892015736	0.000142389508013954	0.00134209685213153	0.00017571471201722	3.63547680035628e-05	8.63425740084616e-05	0.00125575427812306	3.78695500037112e-05	1.66626020016329e-05	3.18104220031174e-05	2.42365120023752e-05	1.66626020016329e-05	3.0295640002969e-06	9.08869200089069e-06	0	0	0.000143904290014103	0	0	0
HEB24106	0.357194208520029	0.0371112820169866	0.00597873336454223	0.0269210191934729	0.00322008961412426	0.000959673644084799	0.565540359794021	0.000529993981140908	0.000188925299271049	8.69390757707483e-05	0.000824249314518826	0.000419648231124189	4.68133484919414e-05	0.000110345750016719	0.000531665886444192	7.5235738647763e-05	2.34066742459707e-05	4.34695378853742e-05	2.6750484852538e-05	1.83909583361198e-05	0	0	0	0	0.000145455761385675	3.34381060656724e-06	0	0
HEB24110	0.105232591008845	0.0147282797705013	0.00766309124269539	0.00415448161491981	0.00117867354683086	0.00134827918801728	0.862687958170795	0.000678422564745669	0.000203869407082663	0.000152473758238294	0.000722965460410788	0.000465987216188944	7.36670966769287e-05	0.000113070427457611	0.000284389256938841	8.39462264458024e-05	3.42637658962459e-05	4.28297073703074e-05	4.28297073703074e-05	2.22714478325598e-05	3.42637658962459e-06	0	0	0	6.85275317924918e-05	0	5.13956488443688e-06	8.56594147406147e-06
HEB24113	0.179929156482795	0.021481582636371	0.00784796791697207	0.0126693402523278	0.0012178842257517	0.00085837149091882	0.772673687848191	0.00070787778796552	0.000214592872729705	0.000103116055727261	0.000922470660695225	0.000342791212282516	6.96730106265276e-05	0.000128198339552811	0.000510006437786182	0.000117050657852566	2.22953634004888e-05	5.01645676510999e-05	3.62299655257943e-05	2.50822838255499e-05	0	0	0	0	6.13122493513443e-05	1.11476817002444e-05	0	0
HEB24122	0.299471221634117	0.10463593757861	0.00571993967875972	0.382381966580794	0.000759820584300739	0.000575348014597843	0.201796221021359	0.000461826433242215	0.00016254226421374	0.000108361509475827	0.00185117578687871	0.000310894330758027	5.54707727078638e-05	8.77212219566219e-05	0.00135709890438774	6.8370952407367e-05	2.70903773689567e-05	2.58003593990064e-05	2.06402875192051e-05	1.16101617295529e-05	6.45008984975161e-06	5.16007187980129e-06	0	1.29001796995032e-05	8.38511680467709e-05	2.58003593990064e-06	0	0
HEB24133	0.348789627294547	0.276627852343557	0.00595291824921249	0.125744982722187	0.00140259271346142	0.000671207734164705	0.237140006989818	0.000386523074501744	0.000247652508812495	0.000120354490264016	0.000979037488109208	0.000131927037404787	5.55482262756997e-05	9.72093959824745e-05	0.00141416526060219	3.93466602786206e-05	2.77741131378499e-05	3.24031319941582e-05	3.0088622566004e-05	1.85160754252332e-05	0	9.25803771261662e-06	0	1.15725471407708e-05	6.48062639883164e-05	0	0	4.62901885630831e-06
HEB24134	0.456223427528874	0.0111713764436849	0.00479811113587769	0.307452262426629	0.00353501580933039	0.000427636195523854	0.211202747438723	0.000378103045463176	0.00015850608019417	7.9253040097085e-05	0.000797483715976918	0.000599351115734205	4.62309400566329e-05	5.77886750707911e-05	0.00289603817354765	4.45798350546103e-05	2.64176800323617e-05	2.97198900364069e-05	2.31154700283165e-05	1.6511050020226e-05	0	0	0	0	3.30221000404521e-05	3.30221000404521e-06	0	0
HEB24135	0.44839162534978	0.187101553338095	0.00658923026499012	0.0714850018282367	0.00139628024879175	0.000530472821793339	0.280591704541795	0.000486898268574601	0.000179981850251312	0.000125040022279859	0.00079381468689789	0.000151563663369525	6.82036485162865e-05	0.000106094564358668	0.00170698575869928	9.09381980217153e-05	3.22072784660242e-05	3.59963700502623e-05	2.46290952975479e-05	2.46290952975479e-05	0	0	0	0	5.87309195556911e-05	1.70509121290716e-05	0	1.13672747527144e-05
HEB24136	0.407026260878898	0.136007929718451	0.00532699040036871	0.253462149168358	0.00806703642556577	0.000973852763563701	0.185017819769369	0.000421424129451391	0.00017993389796801	8.68102139319345e-05	0.000850740096532958	0.000105750624244357	5.36644958851959e-05	7.41832737236531e-05	0.00204240757868951	5.36644958851959e-05	2.20971453644924e-05	4.41942907289848e-05	1.26269402082814e-05	1.10485726822462e-05	4.73510257810552e-06	0	9.47020515621103e-06	0	0.000138896342291095	6.31347010414069e-06	0	0
HEB24137	0.296325572955872	0.118521965179805	0.0071303969775309	0.270874241643027	0.000891075056904844	0.000713219349982304	0.289723353532232	0.000485061018879653	0.00021737919734977	0.000102401770652371	0.0133535501975276	0.000282053999867057	6.10817579329933e-05	9.70122037759305e-05	0.000928802025039928	7.36574139780213e-05	3.9523490427231e-05	5.38956687644059e-05	2.15582675057623e-05	2.33547897979092e-05	5.38956687644059e-06	3.59304458429372e-06	7.18608916858745e-06	1.61687006293218e-05	4.85061018879653e-05	0	0	0
HEB24138	0.413034702641276	0.16191773184475	0.00524172725652474	0.157155848844489	0.000796693796908584	0.000574289792417851	0.258406033546445	0.000364072308721131	0.000166041345818424	8.07357002603345e-05	0.000796693796908584	9.29222210543473e-05	3.19896170842835e-05	7.61657549625798e-05	0.000999294705109046	3.65595623820383e-05	1.98030962902707e-05	1.98030962902707e-05	1.82797811910191e-05	1.5233150992516e-05	0	0	9.13989059550957e-06	0	0.000135575043833392	4.56994529775479e-06	0	6.09326039700638e-06
