feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24045	0.372668895611102	0.623100355569708	0.000859735710874065	0.000422438040651701	0.00067929735180173	0.00020803481398928	0.000188929575969856	0.00185108528365971	1.27368253462824e-05	8.49121689752163e-06	0	0
HEB24046	0.00637366515152788	0.676981373035011	0.000527637979852295	0.192836558254426	0.0270775745456684	0.0802749094697574	0.0126297040018148	6.04935263524924e-05	1.84841330521505e-05	0.00318431201216592	3.52878903722872e-05	0
HEB24055	0.296212269996817	0.699895932801033	0.00111516694771583	0.000476316246898865	0.000887167227636275	0.000227999720079552	0.000264118487616906	0.000898454342491698	2.25742297108467e-05	0	0	0
HEB24056	0.285289747399703	0.710599206121963	0.00120859944121113	0.000459629463303485	0.00083336096133386	0.000248652004737951	0.000283312587216574	0.00105036634728698	2.71256732441401e-05	0	0	0
HEB24057	0.267604113010431	0.728597246782396	0.00112932546699732	0.00079654617578181	0.000830178125425931	0.000233653544895998	0.000260205084088725	0.000518640065564601	2.12412313541816e-05	8.85051306424233e-06	0	0
HEB24064	0.0119168811856578	0.643946025508848	0.00100072839193971	0.108589837527531	0.066779707908348	0.125774051523463	0.0371944590338972	1.29684024873396e-05	9.7263018655047e-06	0.00429578332393124	0.000479830892031565	0
HEB24068	0.232873918007331	0.763003678063498	0.000849148795536988	0.000763759531181313	0.000841242382170722	0.000202404182176414	0.000259330358413531	0.00117805559157366	1.89753920790388e-05	9.48769603951942e-06	0	0
HEB24071	0.231986557373518	0.763086633849998	0.00115468714656556	0.00109652193582438	0.00101250552030935	0.000269283383060998	0.000280054718383438	0.00108359633343746	3.01597389028318e-05	0	0	0
HEB24072	0.149000879639027	0.724345345569931	0.0229311566719018	0.0202495040901434	0.0198203684512299	0.0536045613022931	0.00751076400388893	0.00188926519870227	1.42451664369634e-05	0.00050748405431682	0.00012642585212805	0
HEB24073	0.0478058146638703	0.707202608743947	0.00122846873818144	0.0299024365731937	0.0753213986295102	0.102137456263075	0.0342463760833402	0.000321332511709463	5.28942406106111e-06	0.00103276004792218	0.000796058321189697	0
