feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24056	-1.80950019388916	-0.492892017989332	-9.69244810453331	-11.087241098538	-10.2287708607535	-11.9735843167424	-11.7853176793106	-9.89489168511981	-15.1699815295459	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24057	-1.90182780486407	-0.456806551441156	-9.79032295979531	-10.2939543823431	-10.2342914610448	-12.0633414542017	-11.9080632287238	-10.9129787191379	-15.522773072839	-16.7858074786728	-19.140617611756	-18.8736283468531
HEB24064	-6.3908494780287	-0.634988325792878	-9.96473381975151	-3.20303900127235	-3.90444640664772	-2.99109378475157	-4.74876847488571	-16.2346397022906	-16.6496772015694	-7.86286305795267	-11.0251863366616	-18.8736283468531
HEB24068	-2.10237902884051	-0.39023808329128	-10.2016950015376	-10.3545939006872	-10.2151908440218	-12.270473279523	-11.9129212749049	-9.72937666417345	-15.6855107788018	-16.6855107788018	-19.140617611756	-18.8736283468531
HEB24071	-2.10788688510538	-0.390081238180633	-9.75828226699307	-9.83284961137515	-9.94785451088585	-11.8585871727888	-11.8020036444224	-9.84995686764532	-15.0170165353932	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24072	-2.74660724710518	-0.465250400959707	-5.44654706195023	-5.62596961291086	-5.65687240798587	-4.22150042252051	-7.0568246167947	-9.04795905567363	-16.0991679965884	-10.9443498875363	-12.9494208770837	-18.8736283468531
HEB24073	-4.38667008461176	-0.499804498304209	-9.66892313990011	-5.06359314385162	-3.73079640042901	-3.2914160606475	-4.86790485814552	-11.603645422677	-17.5284579262828	-9.91927918814079	-10.2948382495231	-18.8736283468531
HEB24074	-7.13949505029509	-0.703621664515109	-10.9156690851427	-2.45334138993078	-4.25847146520432	-3.06430783891503	-5.56963206881729	-13.7326527083981	-17.7326527083981	-8.53298036356172	-12.7901382030588	-18.8736283468531
HEB24082	-8.00854766661517	-0.0312289885978836	-10.7022211447912	-7.41510983786066	-7.38486355099254	-8.06159796518126	-10.3299332929717	-10.9298885081683	-15.8002532277517	-14.6847760103317	-19.140617611756	-18.8736283468531
HEB24084	-1.01853966143222	-0.999035531063317	-9.68987702596491	-10.8287751317866	-10.4369450236691	-11.9683264841854	-12.1869667706607	-8.34170483182702	-16.1609715621278	-16.9683264841854	-19.140617611756	-18.8736283468531
