feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24134	-1.13218756250318	-0.899557688979857	-8.14406761757888	-11.1913284102778	-10.8115319167825	-12.6231741972432	-12.8505846933463	-8.43170366551966	-15.886208603077	-19.5616198473859
HEB24135	-1.15716876183584	-0.871049775321087	-9.48419574930057	-10.8804335414507	-10.3515050756438	-12.4398609500647	-11.9329009613448	-9.1943332625821	-15.3092768402545	-19.5616198473859
HEB24136	-1.29677948108641	-0.783843026173854	-6.95375234572219	-10.004015542573	-10.6957133936867	-12.4402522075577	-11.8722627854402	-8.9355203197299	-16.4657872996648	-17.6881797210012
HEB24137	-1.75470997247139	-0.514697956510543	-10.1321654218047	-10.4533665350487	-10.4533665350487	-12.167498494917	-12.0529387306542	-10.0723412618767	-15.3859220140505	-17.5013992314705
HEB24138	-1.27563317027343	-0.776872171527226	-10.2936870374713	-10.7659334604496	-10.8939016220527	-12.5561698489413	-11.9756260194872	-9.96680216910019	-16.0024260788309	-19.5616198473859
HEB24139	-1.11467244463218	-0.906188991661478	-9.0234546088848	-10.4072174028305	-10.8764521964981	-12.7389486727482	-12.3782013289703	-9.86746341327086	-16.3910253693279	-17.6134177906643
HEB24140	-1.27499689392913	-0.774155701389542	-10.8045002904914	-11.6741922681457	-11.0805125503234	-12.7831266396988	-12.36808914042	-11.3894627912126	-16.285626980228	-19.5616198473859
HEB24141	-1.30410747823098	-0.783465588364363	-6.47123455426828	-10.6367910586835	-10.3207635652358	-12.4101986488177	-12.5510611846576	-9.96301929100445	-15.6665384020775	-17.2515009027987
HEB24142	-1.70558966493772	-0.546068510985933	-7.58225807695225	-10.0448339649945	-10.5676747538078	-12.2691512632554	-11.5430126995735	-9.78179955916066	-15.4256557489354	-19.5616198473859
HEB24143	-1.28018187995871	-0.881583433111654	-4.57100386096072	-10.9009671432703	-10.4725624202536	-12.246102629319	-12.0461650588102	-9.1701537760857	-16.8705934942268	-19.5616198473859
HEB24144	-1.28318556800949	-0.773313374260526	-10.2676403112127	-10.71677100916	-10.7613611601841	-12.5849811366044	-12.2047090554863	-9.23358613277641	-15.392336058662	-19.5616198473859
HEB24163	-0.947434835339422	-1.06638678791641	-10.1952976331401	-10.7737172879945	-10.7393145838624	-12.5172257280275	-12.1578976613349	-9.36686299296368	-15.8246542532197	-18.5616198473859
HEB24164	-1.25990261932219	-0.789225930565914	-10.3213878036317	-11.0114712507	-10.7693773294885	-12.3112125823227	-12.3228472828061	-9.35682938223534	-16.1837516731404	-17.9492864195034
HEB24165	-0.94961552677562	-1.0723120778294	-9.7231654273057	-10.7307786114156	-10.4580233585099	-12.3781376492746	-12.1500630817946	-8.05620955438723	-15.7905206951075	-16.8779835363578
HEB24166	-3.80231626058078	-0.113139137740477	-10.1164295995075	-10.5258860665231	-10.4014386955986	-12.2884530668338	-12.0296247719702	-10.0269945159256	-15.4272171367897	-16.8057287600434
HEB24167	-1.86766474768806	-0.470124361202484	-9.92887995574508	-10.2103516098355	-10.3095559720884	-12.4036595387158	-11.906159879245	-10.037165891395	-15.61665326205	-17.2687299586297
HEB24168	-2.67083624989154	-0.254232471777678	-9.72020268625475	-10.3014130521148	-10.054077332639	-11.930125755629	-11.8622216911272	-9.88871949330425	-15.189687969556	-17.3051651869759
HEB24169	-1.30525746090953	-0.757882623131014	-9.9281236435318	-10.3006496253187	-10.7197798792314	-12.5612339399196	-12.1012089858674	-9.75481189538618	-15.4911555041835	-18.349136499311
HEB24170	-2.06650645970825	-0.40461371362902	-10.0503656707393	-10.6307949547192	-10.3550867188503	-12.2693568448244	-11.6651464595099	-8.40755413874439	-15.3177198663858	-17.0401858908569
HEB24171	-1.35724226161197	-0.72414024943735	-9.72499308175534	-10.354556525008	-10.5972579287448	-12.4369091868855	-11.9753291016696	-9.61833573986238	-15.9526090251696	-17.145254103112
HEB24172	-3.21566221949563	-0.181600330081854	-9.43593899933236	-8.45181120413914	-10.0531978361367	-12.0770445780911	-11.682765638979	-7.69721241008527	-15.1667992308494	-16.6758128783372
