feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia	k__Archaea.p__Euryarchaeota.c__Halobacteria	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	k__Bacteria.p__.Thermi..c__Deinococci
HEB24041	0.508309308072488	0.0272714168039539	0.00100700164744646	0.000840197693574959	0.457390856672158	0.000508649093904448	0.000220345963756178	0.000166803953871499	0.00108731466227348	0.000172981878088962	0.00281095551894563	2.8830313014827e-05	3.08896210873147e-05	2.05930807248764e-05	0	1.23558484349259e-05	0.000121499176276771	0	0	0	0
HEB24045	0.37265828158998	0.410437828371278	0.000859735710874065	0.000422438040651701	0.21178580905376	0.000509473013851298	0.00020803481398928	0.000129491057687205	0.0008342620601815	0.000142227883033487	0.00185108528365971	4.24560844876081e-05	4.03332802632277e-05	1.27368253462824e-05	8.49121689752163e-06	1.0614021121902e-05	4.67016929363689e-05	0	0	0	0
HEB24046	0.00636190252140379	0.643088194520295	0.000527637979852295	0.192836558254426	0.0332025440888583	0.000885558010771208	0.0802749094697574	0.0261600893959889	0.000384806042631132	0.0123440401273725	6.04935263524924e-05	0.000305828383226489	3.19271389082599e-05	1.84841330521505e-05	0.00318431201216592	1.17626301240957e-05	0.000285663874442325	3.52878903722872e-05	0	0	0
HEB24055	0.296187438344135	0.158834537668488	0.00111516694771583	0.000476316246898865	0.539995891490193	0.000683999160238655	0.000227999720079552	0.000153504762033757	0.000993266107277254	0.000212197759281959	0.000898454342491698	7.22375350747094e-05	4.96633053638627e-05	2.25742297108467e-05	0	2.48316526819314e-05	5.19207283349474e-05	0	0	0	0
HEB24056	0.285276184563081	0.125177447112472	0.00120859944121113	0.000459629463303485	0.584443727790855	0.000626904448309016	0.000248652004737951	0.000158233093924151	0.000904189108138003	0.000239610113656571	0.00105036634728698	7.3842110497937e-05	4.82234191006935e-05	2.71256732441401e-05	0	1.35628366220701e-05	4.37024735600035e-05	0	0	0	0
HEB24057	0.26759703259998	0.235182913553499	0.00112932546699732	0.00079654617578181	0.492315099506318	0.000631926632786903	0.000233653544895998	0.000168159748220604	0.00105144095203199	0.000200021595251877	0.000518640065564601	4.77927705469086e-05	3.00917444184239e-05	2.12412313541816e-05	8.85051306424233e-06	7.08041045139387e-06	6.01834888368479e-05	0	0	0	0
HEB24064	0.0118954977389259	0.580150320354855	0.00100083871581368	0.10860180885926	0.0622433054049614	0.0029484751800645	0.12578791730435	0.0637002498854331	0.000574995892886479	0.0366808470165063	1.29698321703717e-05	0.00104839476710505	5.29601480290178e-05	9.72737412777879e-06	0.00429625690643563	0	0.000407468894019178	0.000479883790303753	8.53847284549471e-05	2.26972062981505e-05	0
HEB24068	0.232873918007331	0.429035196189741	0.000849148795536988	0.000763759531181313	0.330261955287651	0.000534473543559594	0.000202404182176414	0.000286212163858836	0.00366699451927425	0.000178684942077616	0.00117805559157366	3.95320668313309e-05	2.05566747522921e-05	1.89753920790388e-05	9.48769603951942e-06	0	8.0645416335915e-05	0	0	0	0
HEB24071	0.231986557373518	0.162830276069324	0.00115468714656556	0.00109652193582438	0.599220155322655	0.000807850149182994	0.000269283383060998	0.000161570029836599	0.000995271383793449	0.000204655371126359	0.00108359633343746	4.09310742252717e-05	4.30853412897597e-05	3.01597389028318e-05	0	0	7.53993472570795e-05	0	0	0	0
HEB24072	0.14889404089075	0.532398850415069	0.0229311566719018	0.0202495040901434	0.188367397087576	0.00407945953838538	0.0536045613022931	0.0152654764830109	0.00284013005836957	0.00717422194681567	0.00188926519870227	0.000738968008917474	0.000349006577705602	1.42451664369634e-05	0.00050748405431682	0	0.000336542057073259	0.00012642585212805	0.00012642585212805	0.000106838748277225	0
HEB24073	0.047665041446424	0.60197408027309	0.00065890883109838	0.0299194887502564	0.100945362168313	0.00417044304341786	0.102195701215277	0.0698178738943761	0.00274148413260209	0.033969528774337	0.000321515754933547	0.00194497185083257	0.000981747696134534	5.29244041042875e-06	0.00103334899013621	3.96933030782157e-06	0.00029637666298401	0.000796512281769528	0.000394286810576942	0.000164065652723291	0
