feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia	k__Archaea.p__Euryarchaeota.c__Halobacteria	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	k__Bacteria.p__.Thermi..c__Deinococci
HEB24127	-2.08405202700927	-3.04442734112592	-9.46842472837699	-9.5083788367663	-0.65181492257243	-10.479412557887	-12.1743479006332	-12.4575199520381	-10.0155757601297	-12.1321196652439	-9.96837323873076	-15.3731277647477	-15.0252044613274	-15.3731277647477	-19.5616198473859	-20.4957164736786	-11.642734824505	-17.832559383385	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24128	-6.35215251968374	-0.593087232476846	-9.19481759759602	-2.96719990781337	-3.4676282168138	-7.75165750797119	-4.62917797850778	-5.03633798233848	-8.8401795613799	-5.56679407315429	-11.0724309849171	-10.8952573157371	-11.0879023936795	-17.3012496754129	-9.07531926424189	-20.4957164736786	-11.6631758382322	-8.89951682589033	-11.4836264179015	-17.6249560541014	-18.8736283468531
HEB24129	-1.34427511875554	-1.77956358325337	-8.40000459720297	-11.1842759061475	-1.69807402945014	-11.1724504707507	-12.4086486916122	-13.2761983955886	-9.41038374298297	-12.3277286962287	-10.3948428920872	-14.5241259090322	-16.5241259090322	-15.939163408311	-17.5241259090322	-20.4957164736786	-13.4366630677818	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24130	-0.998819622242876	-1.67890508451645	-10.4584584568358	-10.7279914999684	-2.45243449331771	-11.2017417747585	-12.4638719530222	-12.7776874021223	-10.2807496491983	-12.7247385221733	-9.48298077596991	-15.3492293870811	-15.2712268750798	-15.8187146703823	-19.5616198473859	-16.5191543885234	-13.3097010228944	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24131	-0.888129045365845	-1.417813792221	-10.499681533581	-10.4775425563117	-3.61341927418649	-11.2730458884772	-12.4557381859934	-13.0772265627397	-10.1600151614534	-13.1688570382052	-11.0015622928076	-15.9296693743258	-15.9296693743258	-16.514631875047	-19.5616198473859	-20.4957164736786	-13.3182346622435	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24132	-1.29535329507303	-2.32837261850142	-10.3173716167393	-10.7620799826944	-2.26317639401094	-11.0981291858265	-12.6783692763052	-13.201047498772	-2.45552703004981	-13.0470138700996	-11.0934067755841	-15.0288665233893	-15.0288665233893	-15.8913629996394	-17.3507946182767	-17.0288665233894	-13.4200572807138	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24145	-4.0725871490685	-1.13895698217452	-9.6272120280418	-3.42054538803501	-4.0486134328355	-4.18650204791399	-5.47975626504957	-4.45551641582989	-7.28722266530071	-2.33740959402223	-11.1573505040184	-10.8861882173012	-9.83835969221062	-15.9926878386019	-9.17622025607203	-18.3619216482676	-12.55456672621	-12.7037101655158	-13.5122559213521	-16.6249560541014	-18.8736283468531
HEB24146	-5.80031047100369	-0.437921825442987	-10.4474810492851	-4.41314426324123	-4.09299362576533	-9.47295173680121	-3.60763480646583	-5.62975547660459	-10.2788390137263	-5.13790465386651	-11.9807234335589	-9.35256940225963	-11.8625185485639	-16.5063747383387	-8.90274839335247	-17.9538337153099	-12.4825279963843	-11.1535220702564	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24147	-3.27064989057216	-0.75959419626827	-10.4018825294842	-3.38925217950593	-3.3574884101257	-7.97482691280152	-5.42975713920388	-5.66253025979661	-4.75958793647018	-5.4165892845702	-10.1350180312594	-9.7944188243017	-11.3373172654563	-16.8082751374746	-9.6336431333548	-17.5738098838376	-12.5294157644792	-10.5862616248839	-12.6960656338886	-13.5558879758403	-18.8736283468531
HEB24148	-5.69909699165376	-0.317994928962671	-10.0251794886879	-4.420128932048	-3.99856399830238	-9.46257813371984	-5.105078980301	-6.76350585171216	-10.7786675387668	-5.43662113593818	-11.0693736031882	-9.81804604214231	-11.6301215565543	-16.2565606932516	-9.42282724437069	-18.1634512888601	-9.85113554217	-11.1480362364734	-17.4082536324282	-13.0813022475062	-18.8736283468531
