feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24058	-1.79956335497766	-0.50577434573869	-10.0246970957007	-10.5511074140668	-10.5593279208717	-12.1903600702889	-12.4106261905169	-7.4421078395366	-16.2031841106465	-17.4255765319829
HEB24068	-2.10237902884051	-0.39023808329128	-10.2016950015376	-10.3545939006872	-10.2151908440218	-12.270473279523	-11.9129212749049	-9.72937666417345	-15.6855107788018	-16.6855107788018
HEB24088	-1.47249793948223	-0.65708612732506	-9.51984475429648	-10.223738526857	-10.6872629001282	-12.2609981454261	-11.9730173824621	-8.81998416041856	-16.1023003994071	-18.819895911477
HEB24089	-1.06474507488505	-0.956101065305445	-7.95638233477719	-11.0748631769122	-10.5553237511891	-12.2807674754601	-12.2010402829893	-10.0963429043226	-17.1552365933762	-17.1552365933762
HEB24090	-2.40722276999919	-0.358335864585201	-5.12740843007035	-10.40102859059	-10.8687250391414	-12.9178195886696	-11.810904384753	-9.81606608986883	-16.6182593068106	-16.940187401698
HEB24106	-1.48521940582567	-0.650999946107696	-8.27868344599498	-10.0251685071627	-10.4452415963389	-12.3698964714232	-11.5607188137588	-10.8771924785541	-15.7306438152011	-18.819895911477
HEB24122	-1.73951444646281	-0.521343489357564	-10.3620573051635	-10.7632812290737	-10.5197870096356	-12.5869012054941	-11.9494712848788	-9.5252621397017	-16.3942561275517	-17.2422530341066
HEB24127	-2.08404584627325	-0.398434053937213	-9.46841854764097	-9.50837265603028	-10.1046327480858	-12.1743417198972	-10.8667689179869	-9.96836705799474	-15.3731215840117	-18.819895911477
HEB24129	-1.34427511875554	-0.734609245035563	-8.40000459720297	-11.1842759061475	-10.8423018690584	-12.4086486916122	-11.7781715316387	-10.3948428920872	-15.939163408311	-17.5241259090322
HEB24130	-0.998788926113875	-1.01202563736653	-10.4584584568358	-10.7279914999684	-10.7214928626696	-12.4638719530222	-11.9877729280071	-9.48298077596991	-15.8187146703823	-18.819895911477
HEB24131	-0.888129045365845	-1.1301291559389	-10.499681533581	-10.4775425563117	-10.8659746990084	-12.4557381859934	-12.2416133806405	-11.0015622928076	-16.514631875047	-18.819895911477
HEB24132	-1.29532681549046	-0.761794575118704	-10.3173716167393	-10.7620799826944	-10.7214379981971	-12.6783692763052	-12.2215116013317	-11.0934067755841	-15.8913629996394	-17.3507946182767
HEB24133	-1.51957095865221	-0.629034221241848	-9.4776881463912	-10.5409530398492	-10.6228300469036	-11.979395143463	-12.1973001738071	-9.46583356004542	-15.7208621298642	-18.819895911477
HEB24134	-1.13218756250318	-0.899557688979857	-8.14406761757888	-11.1913284102778	-10.8115319167825	-12.6231741972432	-12.8505846933463	-8.43170366551966	-15.886208603077	-18.819895911477
HEB24135	-1.15716876183584	-0.871049775321087	-9.48419574930057	-10.8804335414507	-10.3515050756438	-12.4398609500647	-11.9329009613448	-9.1943332625821	-15.3092768402545	-18.819895911477
HEB24136	-1.29677948108641	-0.783843026173854	-6.95375234572219	-10.004015542573	-10.6957133936867	-12.4402522075577	-11.8722627854402	-8.9355203197299	-16.4657872996648	-17.6881797210012
HEB24137	-1.75470997247139	-0.514697956510543	-10.1321654218047	-10.4533665350487	-10.4533665350487	-12.167498494917	-12.0529387306542	-10.0723412618767	-15.3859220140505	-17.5013992314705
HEB24138	-1.27563317027343	-0.776872171527226	-10.2936870374713	-10.7659334604496	-10.8939016220527	-12.5561698489413	-11.9756260194872	-9.96680216910019	-16.0024260788309	-18.819895911477
HEB24139	-1.11467244463218	-0.906188991661478	-9.0234546088848	-10.4072174028305	-10.8764521964981	-12.7389486727482	-12.3782013289703	-9.86746341327086	-16.3910253693279	-17.6134177906643
