Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Weight_g
9/21/24,9:00 AM,D7,515,Saline,ABX,Saline_ABX,20.9
9/22/24,8:45 AM,D8,515,Saline,ABX,Saline_ABX,20.7
9/11/24,2:00 PM,D-4,516,Saline,ABX,Saline_ABX,21.5
9/12/24,2:15 PM,D-3,516,Saline,ABX,Saline_ABX,20.4
9/13/24,1:00 PM,D-2,516,Saline,ABX,Saline_ABX,20.6
9/14/24,12:15 PM,D-1,516,Saline,ABX,Saline_ABX,21.4
9/15/24,10:00 AM,D0,516,Saline,ABX,Saline_ABX,22.2
9/16/24,9:30 AM,D2,516,Saline,ABX,Saline_ABX,21.8
9/17/24,8:00 AM,D3 ,516,Saline,ABX,Saline_ABX,21.6
9/18/24,9:00 AM,D4,516,Saline,ABX,Saline_ABX,22.2
9/19/24,8:00 AM,D5,516,Saline,ABX,Saline_ABX,21.5
9/20/24,9:00 AM,D6,516,Saline,ABX,Saline_ABX,22.2
9/21/24,9:00 AM,D7,516,Saline,ABX,Saline_ABX,22.7
9/22/24,8:45 AM,D8,516,Saline,ABX,Saline_ABX,22.5
9/10/24,1:00 PM,D-2,601,PGH,Non_ABX,PGH_Non_ABX,19.4
9/11/24,12:00 PM,D-1,601,PGH,Non_ABX,PGH_Non_ABX,19.4
9/12/24,9:30 AM,D0,601,PGH,Non_ABX,PGH_Non_ABX,20.6
9/13/24,8:15 AM,D2,601,PGH,Non_ABX,PGH_Non_ABX,20.1
9/14/24,10:30 AM,D3,601,PGH,Non_ABX,PGH_Non_ABX,20.1
9/15/24,11:00 AM,D4,601,PGH,Non_ABX,PGH_Non_ABX,20.4
9/16/24,8:30 AM,D5,601,PGH,Non_ABX,PGH_Non_ABX,20.8
9/17/24,4:15 PM,D6,601,PGH,Non_ABX,PGH_Non_ABX,20.7
9/18/24,10:30 AM,D7,601,PGH,Non_ABX,PGH_Non_ABX,20.6
9/19/24,1:30 PM,D8,601,PGH,Non_ABX,PGH_Non_ABX,20.6
9/10/24,1:00 PM,D-2,602,PGH,Non_ABX,PGH_Non_ABX,18.2
9/11/24,12:00 PM,D-1,602,PGH,Non_ABX,PGH_Non_ABX,18.8
9/12/24,9:30 AM,D0,602,PGH,Non_ABX,PGH_Non_ABX,19.6
9/13/24,8:15 AM,D2,602,PGH,Non_ABX,PGH_Non_ABX,19
9/14/24,10:30 AM,D3,602,PGH,Non_ABX,PGH_Non_ABX,18.9
9/15/24,11:00 AM,D4,602,PGH,Non_ABX,PGH_Non_ABX,18.3
9/16/24,8:30 AM,D5,602,PGH,Non_ABX,PGH_Non_ABX,18.6
9/17/24,12:15 PM,D6,602,PGH,Non_ABX,PGH_Non_ABX,19.4
9/18/24,8:00 AM,D7,602,PGH,Non_ABX,PGH_Non_ABX,20
9/19/24,1:30 PM,D8,602,PGH,Non_ABX,PGH_Non_ABX,19.5
9/10/24,1:00 PM,D-2,603,PGH,Non_ABX,PGH_Non_ABX,20.4
9/11/24,12:00 PM,D-1,603,PGH,Non_ABX,PGH_Non_ABX,19.1
9/12/24,9:30 AM,D0,603,PGH,Non_ABX,PGH_Non_ABX,20.6
