Date,Day,Mouse,Time_min,Blood_glucose,Notes,,,,,
9/18/24,D7,506,60,177.5,,,,,,
9/18/24,D7,506,90,222,,,,,,
9/18/24,D7,506,120,194,,,,,,
9/18/24,D7,602,0,185,,,,,,
9/18/24,D7,602,15,98.5,,,,,,
9/18/24,D7,602,30,107.5,,,,,,
9/18/24,D7,602,60,154.5,,,,,,
9/18/24,D7,602,90,176.5,,,,,,
9/18/24,D7,602,120,197.5,,,,,,
9/18/24,D7,606,0,212,,,,,,
9/18/24,D7,606,15,83,,,,,,
9/18/24,D7,606,30,85.5,,,,,,
9/18/24,D7,606,60,177.5,,,,,,
9/18/24,D7,606,90,244,,,,,,
9/18/24,D7,606,120,201,,,,,,
9/18/24,D7,702,0,194.5,,,,,,
9/18/24,D7,702,15,142.5,,,,,,
9/18/24,D7,702,30,120,,,,,,
9/18/24,D7,702,60,141,,,,,,
9/18/24,D7,702,90,205.5,,,,,,
9/18/24,D7,702,120,214.5,,,,,,
9/18/24,D7,703,0,215.5,,,,,,
9/18/24,D7,703,15,116.5,,,,,,
9/18/24,D7,703,30,121,,,,,,
9/18/24,D7,703,60,149.5,,,,,,
9/18/24,D7,703,90,189.5,,,,,,
9/18/24,D7,703,120,190.5,,,,,,
9/18/24,D7,704,0,175.5,,,,,,
9/18/24,D7,704,15,101,,,,,,
9/18/24,D7,704,30,100,,,,,,
9/18/24,D7,704,60,115,,,,,,
9/18/24,D7,704,90,181,,,,,,
9/18/24,D7,704,120,172,,,,,,
9/18/24,D7,502,0,171.5,,,,,,
9/18/24,D7,502,15,103,,,,,,
9/18/24,D7,502,30,108.5,,,,,,
9/18/24,D7,502,60,154.5,,,,,,
9/18/24,D7,502,90,167,,,,,,
9/18/24,D7,502,120,194.5,,,,,,
9/18/24,D7,503,0,168.5,,,,,,
9/18/24,D7,503,15,78,,,,,,
9/18/24,D7,503,30,121.5,,,,,,
9/18/24,D7,503,60,233,,,,,,
9/18/24,D7,503,90,188,,,,,,
9/18/24,D7,503,120,174,,,,,,
9/18/24,D7,505,0,188.5,,,,,,
9/18/24,D7,505,15,110,,,,,,
