Date,Day,Mouse,Time_min,Blood_glucose
9/17/24,D6,606,120,229
9/17/24,D6,701,0,202
9/17/24,D6,701,15,258.5
9/17/24,D6,701,30,206
9/17/24,D6,701,60,201
9/17/24,D6,701,90,192.5
9/17/24,D6,701,120,185
9/17/24,D6,704,0,200.5
9/17/24,D6,704,15,296
9/17/24,D6,704,30,214.5
9/17/24,D6,704,60,207.5
9/17/24,D6,704,90,189
9/17/24,D6,704,120,199
9/17/24,D6,705,0,201.5
9/17/24,D6,705,15,262.5
9/17/24,D6,705,30,280
9/17/24,D6,705,60,246.5
9/17/24,D6,705,90,214
9/17/24,D6,705,120,220
9/17/24,D6,501,0,160
9/17/24,D6,501,15,297
9/17/24,D6,501,30,260
9/17/24,D6,501,60,208
9/17/24,D6,501,90,182.5
9/17/24,D6,501,120,174.5
9/17/24,D6,503,0,180
9/17/24,D6,503,15,224
9/17/24,D6,503,30,221.5
9/17/24,D6,503,60,217
9/17/24,D6,503,90,194
9/17/24,D6,503,120,193
9/17/24,D6,506,0,165
9/17/24,D6,506,15,293
9/17/24,D6,506,30,234.5
9/17/24,D6,506,60,182
9/17/24,D6,506,90,187.5
9/17/24,D6,506,120,181
9/17/24,D6,601,0,171
9/17/24,D6,601,15,225.5
9/17/24,D6,601,30,197.5
9/17/24,D6,601,60,186.5
9/17/24,D6,601,90,184
9/17/24,D6,601,120,174.5
9/17/24,D6,604,0,180.5
9/17/24,D6,604,15,249.5
9/17/24,D6,604,30,240.5
9/17/24,D6,604,60,196
9/17/24,D6,604,90,203.5
9/17/24,D6,604,120,186
9/17/24,D6,605,0,193
9/17/24,D6,605,15,245
9/17/24,D6,605,30,211.5
9/17/24,D6,605,60,183
9/17/24,D6,605,90,185.5
9/17/24,D6,605,120,167
9/17/24,D6,702,0,178
9/17/24,D6,702,15,196.5
9/17/24,D6,702,30,222
9/17/24,D6,702,60,199.5
9/17/24,D6,702,90,190
9/17/24,D6,702,120,191
